Baragarh Regency,HTLGBO1000016238,Resort,15th Mile/ N.H.21/Manali/ District Kullu/Himachal Pradesh,Manali,Himachal Pradesh,India,gostays,2,32.1393865,77.1546599
Asian Suites A- 585,HTLGBO1000015822,Guest House,A-585/ Sushant Lok-1 /Near Iffco Chowk Metro Station/ Gurgaon,Gurgaon,Haryana,India,regular,0,28.4720966,77.0725457
Bevvan Resort,HTLGBO1000004551,Resort,Cobra Vaddo/Calungate Baga Road/ Bardez/ Calangute/ Goa,Goa,Goa,India,regular,0,15.54839798,73.75763376
Apple Inn Cottage,HTLGBO1000007993,Cottage,Simsa,Manali,Himachal Pradesh,India,regular,2,32.2236026,77.1858995
Anmol Hotel Pvt.Ltd,HTLGBO1000008281,Hotel,8180 Street No.-6/Arakashan Road/Paharganj,Delhi,Delhi,India,regular,2,28.6467775,77.2127353
Baia Do Sol (A Boutique Beach Resort),HTLGBO1000002591,Resort,Baga Beach/ Calangute/ Goa,Goa,Goa,India,regular,3,15.56092347,73.74975872
Balaji Residency,HTLGBO1000016284,Hotel,K-69/ Kalkaji,Delhi,Delhi,India,regular,2,28.5403197,77.2613326
BB Palace-A Boutique Hotel,HTLGBO1000000104,Hotel,2638-2642 Gurudwara Road/Karol Bagh,Delhi,Delhi,India,gostays,3,28.65058813,77.194692
Art Inn Homestay,HTLGBO1000061958,Homestay,85/ gomes defence/ III rd Avenue/ vaishali nagar/ Jaipur/ Rajasthan,Jaipur,Rajasthan,India,regular,1,26.9047751,75.7488641
Arjun Homestay,HTLGBO1000073032,Homestay,51 Amri Nagar south ex,Delhi,Delhi,India,regular,0,28.5732907,77.2219418
Ashirwad Homestay,HTLGBO1000078940,Hotel,Ashirwad Enclave/ Lakhimi Path/ Jonali/ R.G.Baruah Road/,Guwahati,Assam,India,regular,0,26.16618281,91.77741357
Apna Ghar- Sector 46,HTLGBO1000003719,Guest House,Near Botanical Garden Metro Station/Sec  -  46,NOIDA,Uttar Pradesh,India,regular,0,28.5522379,77.3597194
Baba Guest House,HTLGBO1000096488,Guest House,429/ Sector-6/ Rohini/ Near Vidha Jain Public School,Delhi,Delhi,India,regular,0,28.7097476,77.1103954
Baragarh Villa,HTLGBO1000054416,Villa,Village Gurdorh/ Naggar Road/ Manali/Distt. Kullu Himachal Pradesh,Manali,Himachal Pradesh,India,regular,4,32.2459026,77.1880853
Annapurna Guest House,HTLGBO1000008549,Guest House,Titawada/ Nerul Bardez Goa,Goa,Goa,India,regular,0,15.5049283,73.7919103
ARAVINDAR RESIDENCY,HTLGBO1000016892,Hotel,Plot No:2/Elcot Avenue/Rajiv Gandhi Road/(OMR)/Near Sozhanganallur Signal/ before aavin milk factory,Chennai,Tamil Nadu,India,regular,0,12.8944628,80.2273584
Balaram Palace Resort,HTLGBO1000059384,Palace,Chitrasani Village/ Off. Abu-Palanpur Highway No. 14/ Banaskantha/ Gujarat,Chitrasani,Gujarat,India,regular,3,24.26778,72.483507
Bhadrawati Safari Lodge,HTLGBO1000048022,Lodge,Village Savti/ Dharampuri/ P.O. Daulatpura/ Distt. Khandar,Sawai Madhopur,Rajasthan,India,regular,0,26.0065687,76.6037222
AS Clarks inn,HTLGBO1000075636,Hotel,NT Mall Road/ Dalhousie /176304(HP),Dalhousie,Himachal Pradesh,India,regular,3,32.537371,75.9824737
Beautiful Alleppey Tours Two Bedroom/ Alleppey,HTLGBO1000064884,Houseboat,Mullassery Building/ Near Pallathuruthy Bridge/ AC Road/ Alleppey/ Kerala/ 688003,Alleppey,Kerala,India,regular,0,9.4980667,76.3388484
Ashiyana,HTLGBO1000057350,Homestay,Sinhgad road pune,Pune,Maharashtra,India,regular,0,18.47885819,73.82231814
ASHIRWAD LODGING,HTLGBO1000059830,Hotel,Railway Station Rd/NEAR SHIVAJI STATUE/NANDED/MAHARASHTRA.,Nanded,Maharashtra,India,regular,0,19.1382514,77.3209555
Aqua Marina Drive Inn,HTLGBO1000011595,Resort,Dadanpatrabar/ Mandarmani.,Mandarmani,West Bengal,India,regular,0,21.66141333,87.69783314
Annai Illam Guest House,HTLGBO1000013799,Guest House,Nagalore road  Opp petrol bunk/,Yercaud,Tamil Nadu,India,regular,0,11.78877598,78.21110564
Bella Marina Villa,HTLGBO1000089780,Hotel,Shuru/ PO Prini/ Manali,Manali,Himachal Pradesh,India,regular,0,32.21280111,77.19837426
ATOM Guest House,HTLGBO1000086812,Guest House,plot no 56/ ghata village/ gurgaon,Gurgaon,Haryana,India,regular,0,28.4667564,77.0930199
